Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
17,Q17,1720364733.789520,1057079,0,1
18,Q18,1720364734.846613,2739625,0,1
19,Q19,1720364737.586253,125661,0,1
20,Q20,1720364737.711927,1063910,0,1
21,Q21,1720364738.775853,2177021,0,1
22,Q22,1720364740.952888,241797,0,1
1,Q1,1720364741.194698,10441312,0,1
2,Q2,1720364751.636026,644073,0,1
3,Q3,1720364752.280114,1081570,0,1
4,Q4,1720364753.361698,444612,0,1
5,Q5,1720364753.806326,2051529,0,1
6,Q6,1720364755.857871,1719026,0,1
7,Q7,1720364757.576911,2397499,0,1
8,Q8,1720364759.974424,3910893,0,1
9,Q9,1720364763.885334,5104278,0,1
10,Q10,1720364768.989627,860618,0,1
11,Q11,1720364769.850259,246167,0,1
12,Q12,1720364770.096440,1840876,0,1
13,Q13,1720364771.937331,1724961,0,1
14,Q14,1720364773.662308,495681,0,1
15,Q15,1720364774.158011,1961635,0,1
16,Q16,1720364776.119659,754182,0,1
17,Q17,1720364776.873856,1060426,0,1
18,Q18,1720364777.934297,3096519,0,1
19,Q19,1720364781.030832,135152,0,1
20,Q20,1720364781.165999,1125698,0,1
21,Q21,1720364782.291713,2084882,0,1
22,Q22,1720364784.376610,245263,0,1
1,Q1,1720364784.621887,9544250,0,1
2,Q2,1720364794.166152,647034,0,1
3,Q3,1720364794.813202,1096585,0,1
4,Q4,1720364795.909802,441782,0,1
5,Q5,1720364796.351600,2058956,0,1
6,Q6,1720364798.410571,1718310,0,1
7,Q7,1720364800.128898,2539529,0,1
8,Q8,1720364802.668442,3963460,0,1
9,Q9,1720364806.631919,5155956,0,1
10,Q10,1720364811.787889,859040,0,1
11,Q11,1720364812.646942,228287,0,1
12,Q12,1720364812.875244,1901836,0,1
13,Q13,1720364814.777095,1771929,0,1
14,Q14,1720364816.549041,505188,0,1
15,Q15,1720364817.054244,1881263,0,1
16,Q16,1720364818.935519,794563,0,1
17,Q17,1720364819.730096,1056429,0,1
18,Q18,1720364820.786541,2827490,0,1
19,Q19,1720364823.614046,125429,0,1
20,Q20,1720364823.739491,1112656,0,1
21,Q21,1720364824.852162,2146070,0,1
22,Q22,1720364826.998249,243698,0,1
1,Q1,1720364827.241962,9528381,0,1
2,Q2,1720364836.770359,640295,0,1
3,Q3,1720364837.410669,1090362,0,1
4,Q4,1720364838.501047,450918,0,1
5,Q5,1720364838.951980,2085662,0,1
6,Q6,1720364841.037657,1763800,0,1
7,Q7,1720364842.801472,2505842,0,1
8,Q8,1720364845.307329,3842995,0,1
9,Q9,1720364849.150340,5015574,0,1
10,Q10,1720364854.165930,826485,0,1
11,Q11,1720364854.992431,233536,0,1
12,Q12,1720364855.225982,1791579,0,1
13,Q13,1720364857.017577,1790775,0,1
14,Q14,1720364858.808365,510766,0,1
15,Q15,1720364859.319146,1909236,0,1
16,Q16,1720364861.228396,772808,0,1
17,Q17,1720364862.001219,1069805,0,1
18,Q18,1720364863.071039,2791708,0,1
19,Q19,1720364865.862762,132958,0,1
20,Q20,1720364865.995735,1033867,0,1
21,Q21,1720364867.029620,1951897,0,1
22,Q22,1720364868.981532,246361,0,1
1,Q1,1720364869.227908,10370033,0,1
2,Q2,1720364879.597954,650419,0,1
3,Q3,1720364880.248388,1079828,0,1
4,Q4,1720364881.328230,441951,0,1
5,Q5,1720364881.770196,2095124,0,1
6,Q6,1720364883.865335,1736403,0,1
7,Q7,1720364885.601753,2479833,0,1
8,Q8,1720364888.081600,4086922,0,1
9,Q9,1720364892.168539,5158532,0,1
10,Q10,1720364897.327086,882529,0,1
11,Q11,1720364898.209631,241740,0,1
12,Q12,1720364898.451387,1878698,0,1
13,Q13,1720364900.330100,1686769,0,1
14,Q14,1720364902.016884,535530,0,1
15,Q15,1720364902.552429,1872882,0,1
16,Q16,1720364904.425325,778670,0,1
17,Q17,1720364905.204009,1030405,0,1
18,Q18,1720364906.234430,2754786,0,1
19,Q19,1720364908.989230,127114,0,1
20,Q20,1720364909.116360,428804,0,1
21,Q21,1720364909.545179,2115877,0,1
22,Q22,1720364911.661073,243652,0,1
1,Q1,1720364911.904739,9548797,0,1
2,Q2,1720364921.453552,663761,0,1
3,Q3,1720364922.117331,1083034,0,1
4,Q4,1720364923.200380,431202,0,1
5,Q5,1720364923.631597,2108020,0,1
6,Q6,1720364925.739632,1745839,0,1
7,Q7,1720364927.485488,2436724,0,1
8,Q8,1720364929.922228,3872800,0,1
9,Q9,1720364933.795044,5049690,0,1
10,Q10,1720364938.844748,840044,0,1
11,Q11,1720364939.684806,237296,0,1
12,Q12,1720364939.922118,1808565,0,1
13,Q13,1720364941.730698,1830619,0,1
14,Q14,1720364943.561333,486281,0,1
15,Q15,1720364944.047630,1862956,0,1
16,Q16,1720364945.910598,760338,0,1
17,Q17,1720364946.670950,1025265,0,1
18,Q18,1720364947.696231,2795095,0,1
19,Q19,1720364950.491342,121837,0,1
20,Q20,1720364950.613193,1034833,0,1
21,Q21,1720364951.648046,1988446,0,1
22,Q22,1720364953.636507,242942,0,1
1,Q1,1720364953.879503,9706021,0,1
2,Q2,1720364963.585537,648583,0,1
3,Q3,1720364964.234134,1099876,0,1
4,Q4,1720364965.334026,444822,0,1
5,Q5,1720364965.778864,2038932,0,1
6,Q6,1720364967.817811,1763431,0,1
7,Q7,1720364969.581257,2551970,0,1
8,Q8,1720364972.133243,3851964,0,1
9,Q9,1720364975.985221,5063028,0,1
10,Q10,1720364981.048265,784076,0,1
11,Q11,1720364981.832355,257596,0,1
12,Q12,1720364982.089967,1864346,0,1
13,Q13,1720364983.954328,1861383,0,1
14,Q14,1720364985.815726,519662,0,1
15,Q15,1720364986.335404,1867113,0,1
16,Q16,1720364988.202531,761279,0,1
17,Q17,1720364988.963825,1086163,0,1
18,Q18,1720364990.050004,2761343,0,1
19,Q19,1720364992.811363,121662,0,1
20,Q20,1720364992.933040,932480,0,1
21,Q21,1720364993.865537,2142984,0,1
22,Q22,1720364996.008537,247301,0,1
1,Q1,1720364996.255853,10358986,0,1
2,Q2,1720365006.614853,637962,0,1
3,Q3,1720365007.252831,1087325,0,1
4,Q4,1720365008.340171,435202,0,1
5,Q5,1720365008.775388,2111005,0,1
6,Q6,1720365010.886409,1691109,0,1
7,Q7,1720365012.577534,2415835,0,1
8,Q8,1720365014.993384,4027973,0,1
9,Q9,1720365019.021372,5133087,0,1
10,Q10,1720365024.154474,802939,0,1
11,Q11,1720365024.957428,233645,0,1
12,Q12,1720365025.191094,1746113,0,1
13,Q13,1720365026.937222,1717675,0,1
14,Q14,1720365028.654913,514811,0,1
15,Q15,1720365029.169740,1919947,0,1
16,Q16,1720365031.089701,764411,0,1
17,Q17,1720365031.854132,1071765,0,1
18,Q18,1720365032.925911,2783246,0,1
19,Q19,1720365035.709173,116972,0,1
20,Q20,1720365035.826160,1120451,0,1
21,Q21,1720365036.946627,2141250,0,1
22,Q22,1720365039.087895,242538,0,1
1,Q1,1720365039.330449,9674078,0,1
2,Q2,1720365049.004552,678074,0,1
3,Q3,1720365049.682641,1071377,0,1
4,Q4,1720365050.754033,429836,0,1
5,Q5,1720365051.183884,2072283,0,1
6,Q6,1720365053.256184,1635026,0,1
7,Q7,1720365054.891225,2420049,0,1
8,Q8,1720365057.311288,3913802,0,1
9,Q9,1720365061.225105,5035219,0,1
10,Q10,1720365066.260339,830296,0,1
11,Q11,1720365067.090650,239250,0,1
12,Q12,1720365067.329916,1810918,0,1
13,Q13,1720365069.140850,1769992,0,1
14,Q14,1720365070.910859,505921,0,1
15,Q15,1720365071.416795,1892001,0,1
16,Q16,1720365073.308809,772421,0,1
17,Q17,1720365074.081245,1037684,0,1
18,Q18,1720365075.118945,2795892,0,1
19,Q19,1720365077.914853,154808,0,1
20,Q20,1720365078.069676,1046054,0,1
21,Q21,1720365079.115747,2150189,0,1
22,Q22,1720365081.265952,247238,0,1
1,Q1,1720365081.513204,9604241,0,1
2,Q2,1720365091.117461,639774,0,1
3,Q3,1720365091.757250,1100371,0,1
4,Q4,1720365092.857637,427877,0,1
5,Q5,1720365093.285529,2052236,0,1
6,Q6,1720365095.337779,1766976,0,1
7,Q7,1720365097.104771,2452959,0,1
8,Q8,1720365099.557746,3953457,0,1
9,Q9,1720365103.511218,5220200,0,1
10,Q10,1720365108.731434,803456,0,1
11,Q11,1720365109.534905,274421,0,1
12,Q12,1720365109.809341,1828536,0,1
13,Q13,1720365111.637893,1815223,0,1
14,Q14,1720365113.453132,487487,0,1
15,Q15,1720365113.940634,1865874,0,1
16,Q16,1720365115.806520,760064,0,1
17,Q17,1720365116.566599,1051162,0,1
18,Q18,1720365117.617776,2764938,0,1
19,Q19,1720365120.382730,120507,0,1
20,Q20,1720365120.503253,1048743,0,1
21,Q21,1720365121.552012,2145317,0,1
22,Q22,1720365123.697345,243148,0,1
1,Q1,1720365123.940509,10459852,0,1
2,Q2,1720365134.400376,645926,0,1
3,Q3,1720365135.046318,1129359,0,1
4,Q4,1720365136.175693,437048,0,1
5,Q5,1720365136.612761,2072612,0,1
6,Q6,1720365138.685391,1796507,0,1
7,Q7,1720365140.481914,2606436,0,1
8,Q8,1720365143.088364,3886659,0,1
9,Q9,1720365146.975039,5205145,0,1
10,Q10,1720365152.180200,794364,0,1
11,Q11,1720365152.974579,232818,0,1
12,Q12,1720365153.207413,1854227,0,1
13,Q13,1720365155.061656,1777439,0,1
14,Q14,1720365156.839113,515061,0,1
15,Q15,1720365157.354189,1899904,0,1
16,Q16,1720365159.254106,792569,0,1
17,Q17,1720365160.046690,1056409,0,1
18,Q18,1720365161.103114,2744889,0,1
19,Q19,1720365163.848018,123277,0,1
20,Q20,1720365163.971311,1020200,0,1
21,Q21,1720365164.991527,2299035,0,1
22,Q22,1720365167.290578,243732,0,1
1,Q1,1720365167.534325,9627756,0,1
2,Q2,1720365177.162096,646239,0,1
3,Q3,1720365177.808350,1061470,0,1
4,Q4,1720365178.869835,427691,0,1
5,Q5,1720365179.297542,2120299,0,1
6,Q6,1720365181.417856,1671907,0,1
7,Q7,1720365183.089780,2446133,0,1
8,Q8,1720365185.535928,3874496,0,1
9,Q9,1720365189.410440,5092789,0,1
10,Q10,1720365194.503243,841902,0,1
11,Q11,1720365195.345160,244345,0,1
12,Q12,1720365195.589519,1803162,0,1
13,Q13,1720365197.392696,1785528,0,1
14,Q14,1720365199.178239,529416,0,1
15,Q15,1720365199.707682,1913938,0,1
16,Q16,1720365201.621632,770266,0,1
17,Q17,1720365202.391919,1033762,0,1
18,Q18,1720365203.425705,2741661,0,1
19,Q19,1720365206.167382,119011,0,1
20,Q20,1720365206.286408,1079573,0,1
21,Q21,1720365207.365996,2132087,0,1
22,Q22,1720365209.498098,253130,0,1
1,Q1,1720365209.751245,10431394,0,1
2,Q2,1720365220.182654,647967,0,1
3,Q3,1720365220.830635,1070868,0,1
4,Q4,1720365221.901518,431077,0,1
5,Q5,1720365222.332612,2066162,0,1
6,Q6,1720365224.398789,1700028,0,1
7,Q7,1720365226.098833,2404519,0,1
8,Q8,1720365228.503368,3896142,0,1
9,Q9,1720365232.399526,5059957,0,1
10,Q10,1720365237.459499,836765,0,1
11,Q11,1720365238.296279,255117,0,1
12,Q12,1720365238.551412,1799450,0,1
13,Q13,1720365240.350876,1759995,0,1
14,Q14,1720365242.110886,512962,0,1
15,Q15,1720365242.623869,1861115,0,1
16,Q16,1720365244.484995,760663,0,1
17,Q17,1720365245.245673,1040457,0,1
18,Q18,1720365246.286146,2723399,0,1
19,Q19,1720365249.009561,124731,0,1
20,Q20,1720365249.134309,985517,0,1
21,Q21,1720365250.119842,2035391,0,1
22,Q22,1720365252.155248,254069,0,1
1,Q1,1720365252.409333,9667815,0,1
2,Q2,1720365262.077164,671437,0,1
3,Q3,1720365262.748616,1073986,0,1
4,Q4,1720365263.822617,446209,0,1
5,Q5,1720365264.268842,2079889,0,1
6,Q6,1720365266.348746,1656547,0,1
7,Q7,1720365268.005310,2407028,0,1
8,Q8,1720365270.412354,3921824,0,1
9,Q9,1720365274.334195,5057973,0,1
10,Q10,1720365279.392193,808634,0,1
11,Q11,1720365280.200842,246235,0,1
12,Q12,1720365280.447091,1859339,0,1
13,Q13,1720365282.306445,1730777,0,1
14,Q14,1720365284.037238,496562,0,1
15,Q15,1720365284.533815,1925929,0,1
16,Q16,1720365286.459757,782181,0,1
17,Q17,1720365287.241954,1026248,0,1
18,Q18,1720365288.268218,2751468,0,1
19,Q19,1720365291.019700,121199,0,1
20,Q20,1720365291.140914,1024241,0,1
21,Q21,1720365292.165171,2056257,0,1
22,Q22,1720365294.221444,242540,0,1
1,Q1,1720365294.463999,9557354,0,1
2,Q2,1720365304.021368,662943,0,1
3,Q3,1720365304.684326,1065830,0,1
4,Q4,1720365305.750170,430397,0,1
