Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
14,Q14,1720363798.757753,485770,0,1
15,Q15,1720363799.243545,1923086,0,1
16,Q16,1720363801.166656,772281,0,1
17,Q17,1720363801.938961,1036468,0,1
18,Q18,1720363802.975452,2725869,0,1
19,Q19,1720363805.701343,128354,0,1
20,Q20,1720363805.829718,1054656,0,1
21,Q21,1720363806.884397,2274027,0,1
22,Q22,1720363809.158449,199094,0,1
1,Q1,1720363809.357563,9171315,0,1
2,Q2,1720363818.528900,775925,0,1
3,Q3,1720363819.304848,1065594,0,1
4,Q4,1720363820.370465,440467,0,1
5,Q5,1720363820.810955,1754931,0,1
6,Q6,1720363822.565908,973894,0,1
7,Q7,1720363823.539823,2533446,0,1
8,Q8,1720363826.073291,3882430,0,1
9,Q9,1720363829.955744,3391467,0,1
10,Q10,1720363833.347234,773286,0,1
11,Q11,1720363834.120545,240399,0,1
12,Q12,1720363834.360967,1805660,0,1
13,Q13,1720363836.166660,1883983,0,1
14,Q14,1720363838.050668,467677,0,1
15,Q15,1720363838.518368,1930259,0,1
16,Q16,1720363840.448649,773068,0,1
17,Q17,1720363841.221741,1054217,0,1
18,Q18,1720363842.275981,2741516,0,1
19,Q19,1720363845.017520,132404,0,1
20,Q20,1720363845.149945,1065197,0,1
21,Q21,1720363846.215166,2297165,0,1
22,Q22,1720363848.512356,228414,0,1
1,Q1,1720363848.740792,9515407,0,1
2,Q2,1720363858.256225,756904,0,1
3,Q3,1720363859.013154,1078084,0,1
4,Q4,1720363860.091261,441045,0,1
5,Q5,1720363860.532330,1751188,0,1
6,Q6,1720363862.283540,1063336,0,1
7,Q7,1720363863.346897,2558091,0,1
8,Q8,1720363865.905012,3893474,0,1
9,Q9,1720363869.798509,5228855,0,1
10,Q10,1720363875.027390,941176,0,1
11,Q11,1720363875.968593,226608,0,1
12,Q12,1720363876.195225,1779754,0,1
13,Q13,1720363877.975002,1772745,0,1
14,Q14,1720363879.747771,494231,0,1
15,Q15,1720363880.242026,1907665,0,1
16,Q16,1720363882.149715,770135,0,1
17,Q17,1720363882.919872,1044774,0,1
18,Q18,1720363883.964669,2744451,0,1
19,Q19,1720363886.709143,126110,0,1
20,Q20,1720363886.835275,1076042,0,1
21,Q21,1720363887.911342,2004247,0,1
22,Q22,1720363889.915615,205328,0,1
1,Q1,1720363890.120966,9588339,0,1
2,Q2,1720363899.709328,631047,0,1
3,Q3,1720363900.340401,1118257,0,1
4,Q4,1720363901.458682,432161,0,1
5,Q5,1720363901.890914,2049409,0,1
6,Q6,1720363903.940348,1743130,0,1
7,Q7,1720363905.683503,2647154,0,1
8,Q8,1720363908.330681,3944245,0,1
9,Q9,1720363912.274949,5132832,0,1
10,Q10,1720363917.407806,771769,0,1
11,Q11,1720363918.179605,218439,0,1
12,Q12,1720363918.398069,1887033,0,1
13,Q13,1720363920.285126,1763909,0,1
14,Q14,1720363922.049061,495819,0,1
15,Q15,1720363922.544903,1856025,0,1
16,Q16,1720363924.400951,759742,0,1
17,Q17,1720363925.160718,1037035,0,1
18,Q18,1720363926.197775,2766919,0,1
19,Q19,1720363928.964717,130029,0,1
20,Q20,1720363929.094771,1036159,0,1
21,Q21,1720363930.130954,2000590,0,1
22,Q22,1720363932.131567,244421,0,1
1,Q1,1720363932.376015,9635610,0,1
2,Q2,1720363942.011665,655970,0,1
3,Q3,1720363942.667658,1082706,0,1
4,Q4,1720363943.750387,430623,0,1
5,Q5,1720363944.181034,2060230,0,1
6,Q6,1720363946.241302,1655218,0,1
7,Q7,1720363947.896543,2611706,0,1
8,Q8,1720363950.508271,3871900,0,1
9,Q9,1720363954.380194,5074073,0,1
10,Q10,1720363959.454289,810964,0,1
11,Q11,1720363960.265277,217746,0,1
12,Q12,1720363960.483046,1881233,0,1
13,Q13,1720363962.364301,1792514,0,1
14,Q14,1720363964.156839,517655,0,1
15,Q15,1720363964.674517,1990118,0,1
16,Q16,1720363966.664924,756620,0,1
17,Q17,1720363967.421576,1078146,0,1
18,Q18,1720363968.499742,2787346,0,1
19,Q19,1720363971.287110,142557,0,1
20,Q20,1720363971.429690,1072028,0,1
21,Q21,1720363972.501739,2086234,0,1
22,Q22,1720363974.587995,244792,0,1
1,Q1,1720363974.832806,9552423,0,1
2,Q2,1720363984.385254,647753,0,1
3,Q3,1720363985.033028,1069325,0,1
4,Q4,1720363986.102375,436299,0,1
5,Q5,1720363986.538696,2058267,0,1
6,Q6,1720363988.596984,1802752,0,1
7,Q7,1720363990.399761,2512095,0,1
8,Q8,1720363992.911878,3955514,0,1
9,Q9,1720363996.867412,5174890,0,1
10,Q10,1720364002.042325,776916,0,1
11,Q11,1720364002.819263,229035,0,1
12,Q12,1720364003.048331,1826930,0,1
13,Q13,1720364004.875322,1672797,0,1
14,Q14,1720364006.548142,492347,0,1
15,Q15,1720364007.040520,1900205,0,1
16,Q16,1720364008.940745,755851,0,1
17,Q17,1720364009.696613,1046906,0,1
18,Q18,1720364010.743535,2729060,0,1
19,Q19,1720364013.472611,125543,0,1
20,Q20,1720364013.598172,1094847,0,1
21,Q21,1720364014.693039,2227983,0,1
22,Q22,1720364016.921039,243847,0,1
1,Q1,1720364017.164901,10383947,0,1
2,Q2,1720364027.548865,669191,0,1
