Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
357,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
358,1,1.000,1772745,1772745,1772745,1772745,1772745,1772745,1772745,1772745,1772745
359,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
360,2,2.000,494231,494231,1907665,1200948,1907665,1907665,1907665,1907665,1907665
361,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
362,1,1.000,770135,770135,770135,770135,770135,770135,770135,770135,770135
363,1,1.000,1044774,1044774,1044774,1044774,1044774,1044774,1044774,1044774,1044774
364,1,1.000,2744451,2744451,2744451,2744451,2744451,2744451,2744451,2744451,2744451
365,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
366,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
367,2,2.000,126110,126110,1076042,601076,1076042,1076042,1076042,1076042,1076042
368,1,1.000,2004247,2004247,2004247,2004247,2004247,2004247,2004247,2004247,2004247
369,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
370,2,2.000,205328,205328,9588339,4896833,9588339,9588339,9588339,9588339,9588339
371,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
372,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
374,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
376,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
377,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
378,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
379,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
380,2,2.000,631047,631047,1118257,874652,1118257,1118257,1118257,1118257,1118257
381,1,1.000,432161,432161,432161,432161,432161,432161,432161,432161,432161
382,1,1.000,2049409,2049409,2049409,2049409,2049409,2049409,2049409,2049409,2049409
383,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
384,1,1.000,1743130,1743130,1743130,1743130,1743130,1743130,1743130,1743130,1743130
385,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
386,1,1.000,2647154,2647154,2647154,2647154,2647154,2647154,2647154,2647154,2647154
387,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
388,1,1.000,3944245,3944245,3944245,3944245,3944245,3944245,3944245,3944245,3944245
389,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
390,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
391,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
392,1,1.000,5132832,5132832,5132832,5132832,5132832,5132832,5132832,5132832,5132832
393,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
394,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
395,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
396,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
397,1,1.000,771769,771769,771769,771769,771769,771769,771769,771769,771769
398,2,2.000,218439,218439,1887033,1052736,1887033,1887033,1887033,1887033,1887033
399,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,1,1.000,1763909,1763909,1763909,1763909,1763909,1763909,1763909,1763909,1763909
401,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
402,2,2.000,495819,495819,1856025,1175922,1856025,1856025,1856025,1856025,1856025
403,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
404,1,1.000,759742,759742,759742,759742,759742,759742,759742,759742,759742
405,1,1.000,1037035,1037035,1037035,1037035,1037035,1037035,1037035,1037035,1037035
406,1,1.000,2766919,2766919,2766919,2766919,2766919,2766919,2766919,2766919,2766919
407,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
408,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
409,2,2.000,130029,130029,1036159,583094,1036159,1036159,1036159,1036159,1036159
410,1,1.000,2000590,2000590,2000590,2000590,2000590,2000590,2000590,2000590,2000590
411,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
412,2,2.000,244421,244421,9635610,4940015,9635610,9635610,9635610,9635610,9635610
413,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
414,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
415,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
416,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
417,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
418,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
419,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
420,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
421,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
422,1,1.000,655970,655970,655970,655970,655970,655970,655970,655970,655970
423,1,1.000,1082706,1082706,1082706,1082706,1082706,1082706,1082706,1082706,1082706
424,2,2.000,430623,430623,2060230,1245426,2060230,2060230,2060230,2060230,2060230
425,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
426,1,1.000,1655218,1655218,1655218,1655218,1655218,1655218,1655218,1655218,1655218
427,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
428,1,1.000,2611706,2611706,2611706,2611706,2611706,2611706,2611706,2611706,2611706
429,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
430,1,1.000,3871900,3871900,3871900,3871900,3871900,3871900,3871900,3871900,3871900
431,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
432,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
433,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
434,1,1.000,5074073,5074073,5074073,5074073,5074073,5074073,5074073,5074073,5074073
435,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
436,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
437,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
438,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
439,1,1.000,810964,810964,810964,810964,810964,810964,810964,810964,810964
440,2,2.000,217746,217746,1881233,1049489,1881233,1881233,1881233,1881233,1881233
441,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
442,1,1.000,1792514,1792514,1792514,1792514,1792514,1792514,1792514,1792514,1792514
443,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
444,1,1.000,517655,517655,517655,517655,517655,517655,517655,517655,517655
445,1,1.000,1990118,1990118,1990118,1990118,1990118,1990118,1990118,1990118,1990118
446,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
447,2,2.000,756620,756620,1078146,917383,1078146,1078146,1078146,1078146,1078146
448,1,1.000,2787346,2787346,2787346,2787346,2787346,2787346,2787346,2787346,2787346
449,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
451,2,2.000,142557,142557,1072028,607292,1072028,1072028,1072028,1072028,1072028
452,1,1.000,2086234,2086234,2086234,2086234,2086234,2086234,2086234,2086234,2086234
453,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
454,1,1.000,244792,244792,244792,244792,244792,244792,244792,244792,244792
455,1,1.000,9552423,9552423,9552423,9552423,9552423,9552423,9552423,9552423,9552423
456,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
457,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
458,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
459,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
460,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
461,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
462,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
463,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
464,1,1.000,647753,647753,647753,647753,647753,647753,647753,647753,647753
465,1,1.000,1069325,1069325,1069325,1069325,1069325,1069325,1069325,1069325,1069325
466,2,2.000,436299,436299,2058267,1247283,2058267,2058267,2058267,2058267,2058267
467,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
468,1,1.000,1802752,1802752,1802752,1802752,1802752,1802752,1802752,1802752,1802752
469,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
470,1,1.000,2512095,2512095,2512095,2512095,2512095,2512095,2512095,2512095,2512095
471,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
472,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
473,1,1.000,3955514,3955514,3955514,3955514,3955514,3955514,3955514,3955514,3955514
474,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
476,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
477,1,1.000,5174890,5174890,5174890,5174890,5174890,5174890,5174890,5174890,5174890
478,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
479,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
480,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
481,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
482,1,1.000,776916,776916,776916,776916,776916,776916,776916,776916,776916
483,2,2.000,229035,229035,1826930,1027982,1826930,1826930,1826930,1826930,1826930
484,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
485,1,1.000,1672797,1672797,1672797,1672797,1672797,1672797,1672797,1672797,1672797
486,1,1.000,492347,492347,492347,492347,492347,492347,492347,492347,492347
487,1,1.000,1900205,1900205,1900205,1900205,1900205,1900205,1900205,1900205,1900205
488,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
489,1,1.000,755851,755851,755851,755851,755851,755851,755851,755851,755851
490,1,1.000,1046906,1046906,1046906,1046906,1046906,1046906,1046906,1046906,1046906
491,1,1.000,2729060,2729060,2729060,2729060,2729060,2729060,2729060,2729060,2729060
492,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
493,2,2.000,125543,125543,1094847,610195,1094847,1094847,1094847,1094847,1094847
494,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
495,1,1.000,2227983,2227983,2227983,2227983,2227983,2227983,2227983,2227983,2227983
496,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
497,2,2.000,243847,243847,10383947,5313897,10383947,10383947,10383947,10383947,10383947
498,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
499,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
500,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
501,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
502,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
503,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
504,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
505,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
506,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
507,1,1.000,669191,669191,669191,669191,669191,669191,669191,669191,669191
508,1,1.000,1112472,1112472,1112472,1112472,1112472,1112472,1112472,1112472,1112472
509,1,1.000,430639,430639,430639,430639,430639,430639,430639,430639,430639
510,1,1.000,2087926,2087926,2087926,2087926,2087926,2087926,2087926,2087926,2087926
511,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
512,1,1.000,1621892,1621892,1621892,1621892,1621892,1621892,1621892,1621892,1621892
513,1,1.000,2451306,2451306,2451306,2451306,2451306,2451306,2451306,2451306,2451306
514,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
515,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
516,1,1.000,3885225,3885225,3885225,3885225,3885225,3885225,3885225,3885225,3885225
517,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
518,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
519,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
520,1,1.000,5111624,5111624,5111624,5111624,5111624,5111624,5111624,5111624,5111624
521,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
522,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
523,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
524,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
525,1,1.000,826457,826457,826457,826457,826457,826457,826457,826457,826457
526,2,2.000,227700,227700,1895789,1061744,1895789,1895789,1895789,1895789,1895789
527,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
528,1,1.000,1853495,1853495,1853495,1853495,1853495,1853495,1853495,1853495,1853495
529,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
530,2,2.000,510698,510698,1892956,1201827,1892956,1892956,1892956,1892956,1892956
531,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
532,1,1.000,785913,785913,785913,785913,785913,785913,785913,785913,785913
533,1,1.000,1048130,1048130,1048130,1048130,1048130,1048130,1048130,1048130,1048130
534,1,1.000,2938194,2938194,2938194,2938194,2938194,2938194,2938194,2938194,2938194
535,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
536,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
537,2,2.000,123860,123860,1084762,604311,1084762,1084762,1084762,1084762,1084762
538,1,1.000,2068005,2068005,2068005,2068005,2068005,2068005,2068005,2068005,2068005
539,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,2,2.000,243711,243711,9510867,4877289,9510867,9510867,9510867,9510867,9510867
541,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
542,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
543,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
544,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
545,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
546,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
547,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
548,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
549,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
550,2,2.000,651095,651095,1103464,877279,1103464,1103464,1103464,1103464,1103464
551,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
552,2,2.000,433602,433602,2090979,1262290,2090979,2090979,2090979,2090979,2090979
553,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
554,1,1.000,1668092,1668092,1668092,1668092,1668092,1668092,1668092,1668092,1668092
555,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
556,1,1.000,2515734,2515734,2515734,2515734,2515734,2515734,2515734,2515734,2515734
557,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
558,1,1.000,3945606,3945606,3945606,3945606,3945606,3945606,3945606,3945606,3945606
559,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
561,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
562,1,1.000,5176104,5176104,5176104,5176104,5176104,5176104,5176104,5176104,5176104
563,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
564,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
565,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
566,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
567,1,1.000,794128,794128,794128,794128,794128,794128,794128,794128,794128
568,2,2.000,227973,227973,1952768,1090370,1952768,1952768,1952768,1952768,1952768
569,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
570,1,1.000,1854191,1854191,1854191,1854191,1854191,1854191,1854191,1854191,1854191
571,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
572,1,1.000,511856,511856,511856,511856,511856,511856,511856,511856,511856
573,1,1.000,1857355,1857355,1857355,1857355,1857355,1857355,1857355,1857355,1857355
574,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
575,2,2.000,764090,764090,1048027,906058,1048027,1048027,1048027,1048027,1048027
576,1,1.000,2753380,2753380,2753380,2753380,2753380,2753380,2753380,2753380,2753380
577,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
578,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
579,2,2.000,161829,161829,1068654,615241,1068654,1068654,1068654,1068654,1068654
580,1,1.000,2283582,2283582,2283582,2283582,2283582,2283582,2283582,2283582,2283582
581,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
582,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
583,2,2.000,244838,244838,9520690,4882764,9520690,9520690,9520690,9520690,9520690
584,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
585,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
586,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
587,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
588,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
589,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
590,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
591,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
592,1,1.000,647421,647421,647421,647421,647421,647421,647421,647421,647421
593,1,1.000,1076234,1076234,1076234,1076234,1076234,1076234,1076234,1076234,1076234
594,1,1.000,454154,454154,454154,454154,454154,454154,454154,454154,454154
595,1,1.000,2104801,2104801,2104801,2104801,2104801,2104801,2104801,2104801,2104801
596,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
597,1,1.000,1774558,1774558,1774558,1774558,1774558,1774558,1774558,1774558,1774558
598,1,1.000,2411483,2411483,2411483,2411483,2411483,2411483,2411483,2411483,2411483
599,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
600,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
601,1,1.000,3883651,3883651,3883651,3883651,3883651,3883651,3883651,3883651,3883651
602,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
603,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
604,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
605,1,1.000,5105848,5105848,5105848,5105848,5105848,5105848,5105848,5105848,5105848
606,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
607,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
608,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
609,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
610,1,1.000,823351,823351,823351,823351,823351,823351,823351,823351,823351
611,2,2.000,234625,234625,1779797,1007211,1779797,1779797,1779797,1779797,1779797
612,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
613,1,1.000,1803004,1803004,1803004,1803004,1803004,1803004,1803004,1803004,1803004
614,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
615,2,2.000,493637,493637,1888153,1190895,1888153,1888153,1888153,1888153,1888153
616,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
617,1,1.000,767967,767967,767967,767967,767967,767967,767967,767967,767967
618,1,1.000,1130825,1130825,1130825,1130825,1130825,1130825,1130825,1130825,1130825
619,1,1.000,2764316,2764316,2764316,2764316,2764316,2764316,2764316,2764316,2764316
620,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
621,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
622,2,2.000,180785,180785,1108220,644502,1108220,1108220,1108220,1108220,1108220
623,1,1.000,2140547,2140547,2140547,2140547,2140547,2140547,2140547,2140547,2140547
624,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
625,2,2.000,262556,262556,10463287,5362921,10463287,10463287,10463287,10463287,10463287
626,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
627,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
628,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
629,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
630,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
631,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
632,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
633,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
634,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
635,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
636,2,2.000,629721,629721,1069059,849390,1069059,1069059,1069059,1069059,1069059
637,1,1.000,432877,432877,432877,432877,432877,432877,432877,432877,432877
638,1,1.000,2096131,2096131,2096131,2096131,2096131,2096131,2096131,2096131,2096131
639,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
640,1,1.000,1800075,1800075,1800075,1800075,1800075,1800075,1800075,1800075,1800075
641,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
642,1,1.000,2581696,2581696,2581696,2581696,2581696,2581696,2581696,2581696,2581696
643,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
644,1,1.000,3831820,3831820,3831820,3831820,3831820,3831820,3831820,3831820,3831820
645,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
646,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
647,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
648,1,1.000,5083984,5083984,5083984,5083984,5083984,5083984,5083984,5083984,5083984
649,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
650,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
651,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
652,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
653,1,1.000,769797,769797,769797,769797,769797,769797,769797,769797,769797
654,2,2.000,245184,245184,1895079,1070131,1895079,1895079,1895079,1895079,1895079
655,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
656,1,1.000,1686651,1686651,1686651,1686651,1686651,1686651,1686651,1686651,1686651
657,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
658,2,2.000,540455,540455,1982842,1261648,1982842,1982842,1982842,1982842,1982842
659,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
660,1,1.000,787518,787518,787518,787518,787518,787518,787518,787518,787518
661,1,1.000,1082079,1082079,1082079,1082079,1082079,1082079,1082079,1082079,1082079
662,1,1.000,2729294,2729294,2729294,2729294,2729294,2729294,2729294,2729294,2729294
663,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
664,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
665,2,2.000,133129,133129,922755,527942,922755,922755,922755,922755,922755
666,1,1.000,2128139,2128139,2128139,2128139,2128139,2128139,2128139,2128139,2128139
667,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
668,2,2.000,243510,243510,10364051,5303780,10364051,10364051,10364051,10364051,10364051
669,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
670,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
671,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
672,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
673,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
674,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
675,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
676,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
677,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
678,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
679,2,2.000,660815,660815,1083232,872023,1083232,1083232,1083232,1083232,1083232
680,1,1.000,452793,452793,452793,452793,452793,452793,452793,452793,452793
681,1,1.000,2072443,2072443,2072443,2072443,2072443,2072443,2072443,2072443,2072443
682,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
683,1,1.000,1670556,1670556,1670556,1670556,1670556,1670556,1670556,1670556,1670556
684,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
685,1,1.000,2460105,2460105,2460105,2460105,2460105,2460105,2460105,2460105,2460105
686,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
687,1,1.000,3932248,3932248,3932248,3932248,3932248,3932248,3932248,3932248,3932248
688,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
689,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
690,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
691,1,1.000,5099895,5099895,5099895,5099895,5099895,5099895,5099895,5099895,5099895
692,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
693,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
694,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
695,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
696,1,1.000,823142,823142,823142,823142,823142,823142,823142,823142,823142
697,2,2.000,216367,216367,1862952,1039659,1862952,1862952,1862952,1862952,1862952
698,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
699,1,1.000,1820789,1820789,1820789,1820789,1820789,1820789,1820789,1820789,1820789
700,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
701,2,2.000,536365,536365,1902999,1219682,1902999,1902999,1902999,1902999,1902999
702,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
703,1,1.000,763696,763696,763696,763696,763696,763696,763696,763696,763696
704,1,1.000,1038869,1038869,1038869,1038869,1038869,1038869,1038869,1038869,1038869
705,1,1.000,2722910,2722910,2722910,2722910,2722910,2722910,2722910,2722910,2722910
706,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
707,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
708,2,2.000,151789,151789,1112106,631947,1112106,1112106,1112106,1112106,1112106
709,1,1.000,2136551,2136551,2136551,2136551,2136551,2136551,2136551,2136551,2136551
710,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
711,1,1.000,254915,254915,254915,254915,254915,254915,254915,254915,254915
712,1,1.000,9629510,9629510,9629510,9629510,9629510,9629510,9629510,9629510,9629510
713,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
714,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
715,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
716,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
717,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
718,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
719,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
720,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
721,1,1.000,681873,681873,681873,681873,681873,681873,681873,681873,681873
722,1,1.000,1084054,1084054,1084054,1084054,1084054,1084054,1084054,1084054,1084054
723,2,2.000,432174,432174,2038029,1235101,2038029,2038029,2038029,2038029,2038029
